Configuration,Language,File Path,Successfully Extracted,Failure Reason
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/app/AppShell.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/utils/logSanitizer.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/features/trust/components/TrustCenterSections.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/domains/wallet/index.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,tests/unit/utils/validation.test.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/rides/RideResults.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/utils/authStorage.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/features/home/HomePageSections.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/lib/supabaseEnv.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/features/wallet/useWallet.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/styles/wasel-page-theme.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/ui/utils.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/ui/badgeVariants.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/features/innovation/InnovationHubPage.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/services/movementPricing.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/app/pages/surfaces/overviewConfigs.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/admin/KVStoreAdmin.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/layouts/waselRootParts.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/utils/localizedCopy.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/modules/bus/index.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/features/operations/QuantumMobilityMap.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/features/rides/landing/landingTypes.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/features/shared/pageShared.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,tests/unit/app/App.test.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/services/driverTracking.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/services/rideFlowRuntime.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,supabase/functions/subscription-webhook/index.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,e2e/find-ride.spec.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/features/rides/components/OfferRideFormPanel.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/services/emailService.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,tests/unit/utils/locale.test.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,tests/unit/server/communication-runtime.test.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,e2e/wallet.spec.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/pages/waselCorePageHelpers.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/features/core/featureFlags.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/design-system/tokens.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/lib/client.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/services/growthEngine.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/app/pages/surfaces/AuthPageSurface.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/wasel-ui/WaselRating.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/trust/OperationalConfidencePanel.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/services/supportInbox.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/domains/analytics/infrastructure/AnalyticsGateway.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,tests/unit/locales/translation-completeness.test.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/auth/AuthProviderBadge.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/PopularRoutes.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/modules/rides/ride.state.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,tests/unit/utils/supabaseInfo.test.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,tests/unit/services/http.test.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,supabase/functions/wasel-email/index.ts,true,""
